epoch,accuracy,loss,val_accuracy,val_loss
0,0.7795856595039368,0.46303585171699524,0.8128864169120789,0.3807322680950165
1,0.8292656540870667,0.3600360155105591,0.8327367305755615,0.3629509210586548
2,0.8753660917282104,0.2743780016899109,0.878294825553894,0.2787190079689026
3,0.9178869724273682,0.1983354091644287,0.8961926698684692,0.2576059103012085
4,0.9407745003700256,0.14253810048103333,0.8753660917282104,0.2976062297821045
5,0.962685763835907,0.09742064028978348,0.9023755192756653,0.29792681336402893
6,0.9752684831619263,0.06768012046813965,0.906280517578125,0.35919591784477234
7,0.9745091795921326,0.06899278610944748,0.9027009606361389,0.3310464322566986
8,0.9883935451507568,0.03704299405217171,0.9059550762176514,0.4374530613422394
9,0.986657977104187,0.03924386575818062,0.906280517578125,0.4497900903224945
10,0.9940340518951416,0.018387410789728165,0.9092092514038086,0.4901440739631653
11,0.9873088002204895,0.04063839837908745,0.8848031163215637,0.526796817779541
12,0.9944679737091064,0.015479507856070995,0.9105108976364136,0.6560389995574951
13,0.9914307594299316,0.028705161064863205,0.8981451392173767,0.5926435589790344
14,0.9869834184646606,0.039238281548023224,0.8974943161010742,0.5353572368621826
15,0.9944679737091064,0.015328492037951946,0.9056296944618225,0.6503954529762268
16,0.9958781003952026,0.010755031369626522,0.8887081146240234,0.7571967244148254
17,0.9936001896858215,0.019166577607393265,0.9072567820549011,0.5955845713615417
18,0.9990237355232239,0.003227927954867482,0.90758216381073,0.7281710505485535
19,0.9915392398834229,0.025835879147052765,0.9030263423919678,0.6518802642822266
20,0.9931662678718567,0.02197249047458172,0.9007484316825867,0.6425097584724426
21,0.9944679737091064,0.019935032352805138,0.9010738730430603,0.6489773988723755
22,0.9958781003952026,0.012525523081421852,0.9079076051712036,0.6621060967445374
23,0.9991322159767151,0.002559071173891425,0.9059550762176514,0.9115115404129028
24,0.9907799363136292,0.03066941536962986,0.9027009606361389,0.7355619668960571
