,precision,recall,f1-score,support
Fish,0.8695652173913043,0.8444444444444444,0.8568207440811724,900.0
NotFish,0.8488120950323974,0.8733333333333333,0.8608981380065718,900.0
accuracy,0.8588888888888889,0.8588888888888889,0.8588888888888889,0.8588888888888889
macro avg,0.8591886562118509,0.8588888888888888,0.8588594410438721,1800.0
weighted avg,0.8591886562118508,0.8588888888888889,0.8588594410438721,1800.0
